delivery_days,average_review,orders
0.0,3.33,18
1.0,4.43,1826
2.0,4.41,3656
3.0,4.37,4402
4.0,4.34,5577
5.0,4.31,6619
6.0,4.3,7732
7.0,4.3,8702
8.0,4.26,7673
9.0,4.21,6847
10.0,4.21,6444
11.0,4.19,5840
12.0,4.21,5311
13.0,4.16,4947
14.0,4.12,4353
15.0,4.13,3597
16.0,4.06,2957
17.0,4.03,2667
18.0,3.97,2461
19.0,4.01,2078
20.0,3.97,1912
21.0,3.88,1682
22.0,3.74,1370
23.0,3.68,1186
24.0,3.55,1047
25.0,3.4,908
26.0,3.44,776
27.0,3.3,722
28.0,3.04,646
29.0,3.03,513
30.0,2.95,473
31.0,2.73,390
32.0,2.56,368
33.0,2.55,350
34.0,2.5,311
35.0,2.32,312
36.0,2.23,256
37.0,2.14,205
38.0,1.9,176
39.0,2.03,186
40.0,2.19,154
41.0,1.81,167
42.0,2.09,147
43.0,1.93,120
44.0,1.65,121
45.0,1.73,132
46.0,1.58,106
47.0,1.51,80
48.0,1.68,69
49.0,1.51,71
50.0,1.8,61
51.0,1.59,56
52.0,1.98,43
53.0,1.45,40
54.0,1.8,40
55.0,1.82,34
56.0,1.49,37
57.0,1.45,31
58.0,1.75,20
59.0,1.63,27
60.0,1.5,22
61.0,1.82,11
62.0,1.81,16
63.0,2.46,13
64.0,1.5,6
65.0,2.82,17
66.0,1.47,15
67.0,1.33,9
68.0,2.35,17
69.0,2.1,10
70.0,1.72,18
71.0,2.8,10
72.0,1.5,6
73.0,1.75,4
74.0,2.0,7
75.0,2.56,9
76.0,1.0,5
77.0,1.0,3
78.0,1.67,6
79.0,1.67,3
80.0,2.6,5
81.0,1.0,2
82.0,3.0,1
83.0,2.4,5
84.0,1.0,4
85.0,1.8,5
86.0,1.83,6
87.0,4.0,1
88.0,1.0,1
89.0,1.0,1
90.0,1.0,1
91.0,2.0,1
92.0,4.0,2
94.0,1.0,1
96.0,2.5,2
97.0,1.0,2
98.0,5.0,1
99.0,4.33,3
100.0,1.0,1
101.0,5.0,1
103.0,1.0,3
104.0,5.0,2
105.0,2.5,2
106.0,1.0,2
107.0,3.5,2
108.0,3.0,2
109.0,1.0,1
110.0,1.0,1
115.0,5.0,1
117.0,1.0,1
118.0,4.0,1
124.0,1.0,2
126.0,2.5,2
130.0,5.0,2
131.0,1.0,1
132.0,1.0,1
133.0,2.0,1
135.0,5.0,1
136.0,4.0,1
138.0,3.0,2
141.0,5.0,1
142.0,1.0,1
143.0,3.0,3
145.0,4.0,1
148.0,4.0,1
165.0,1.0,1
166.0,1.0,1
167.0,4.0,2
168.0,3.0,2
172.0,5.0,1
173.0,4.0,1
174.0,3.0,1
175.0,4.0,2
181.0,1.0,1
182.0,5.0,2
186.0,4.0,1
187.0,4.33,3
188.0,3.0,1
189.0,1.0,1
191.0,1.0,1
194.0,3.0,3
195.0,1.0,1
208.0,2.0,1
